"pr_major","pr_obama_given_major","pr_obama","pr_mccain","pr_other","predictions"
0.944499277931957,0.710218453936039,0.67080081691654,0.273698461015417,0.0555007220680429,"Obama"
0.980185071783231,0.976701624933832,0.957348352346566,0.0228367194366648,0.0198149282167688,"Obama"
0.996098641260029,0.905291943797104,0.901760075159946,0.0943385661000828,0.00390135873997122,"Obama"
0.99272550690686,0.0304595747118237,0.0302379967459626,0.962487510160897,0.00727449309314021,NA
0.977255935189662,0.212395302328203,0.207564569806639,0.769691365383023,0.0227440648103376,NA
0.994814630979181,0.880610418658326,0.876044128674005,0.118770502305176,0.00518536902081901,"Obama"
0.973044217763639,0.630820940339547,0.613816668441618,0.359227549322021,0.0269557822363605,"Obama"
0.984415092389406,0.682692655089075,0.67205295313308,0.312362139256325,0.0155849076105944,"Obama"
0.992337993019497,0.973732567718584,0.966271821987581,0.0260661710319157,0.0076620069805029,"Obama"
0.993968656923406,0.96507877358591,0.959258052406474,0.0347106045169317,0.00603134307659403,"Obama"
0.992629373237559,0.455831598104647,0.452471833528491,0.540157539709068,0.00737062676244093,NA
0.995191316726584,0.928624950799621,0.924159487531435,0.0710318291951494,0.00480868327341599,"Obama"
0.985420359274224,0.960411464769202,0.946409010663951,0.0390113486102728,0.0145796407257762,"Obama"
0.958261936947212,0.715866790918495,0.685987897661742,0.272274039285471,0.0417380630527878,"Obama"
0.943736050804024,0.260319332055652,0.245672738382142,0.698063312421882,0.0562639491959757,NA
0.991000486542715,0.98040818006211,0.971584983452009,0.0194155030907059,0.00899951345728489,"Obama"
0.994702725642211,0.969192870628691,0.964058790087358,0.0306439355548535,0.00529727435778882,"Obama"
0.945424840066882,0.738547952237938,0.698241579626276,0.247183260440606,0.054575159933118,"Obama"
0.992569768257063,0.937186350724725,0.930222838952522,0.0623469293045403,0.00743023174293744,"Obama"
0.991107995051731,0.966168400223825,0.957577226028174,0.0335307690235575,0.00889200494826892,"Obama"
0.98929855483712,0.0137401991603925,0.0135931591725505,0.975705395664569,0.01070144516288,NA
0.992013821699309,0.859399344038698,0.852536027645708,0.139477794053601,0.00798617830069104,"Obama"
0.993540057652765,0.979037733111225,0.972713205799558,0.0208268518532065,0.00645994234723535,"Obama"
0.966063502272443,0.59970754061923,0.579355567029807,0.386707935242636,0.0339364977275572,"Obama"
0.99999999838732,0.0602299699680707,0.060229969870939,0.939770028516381,1.61267987852654e-09,NA
0.995921254625432,0.849610212688552,0.846144868963363,0.149776385662069,0.00407874537456809,"Obama"
0.985512694804186,0.824022691565659,0.812084823344671,0.173427871459515,0.0144873051958141,"Obama"
0.995398340919142,0.998537641471978,0.99394271166652,0.0014556292526224,0.00460165908085752,"Obama"
0.949527882522793,0.656922758691909,0.62376647604176,0.325761406481033,0.0504721174772073,"Obama"
0.995922699594955,0.0207811103384243,0.0206963795088242,0.975226320086131,0.00407730040504506,NA
0.991072778481202,0.989900331271738,0.981063271732943,0.0100095067482585,0.00892722151879799,"Obama"
0.996436166280303,0.116794631472306,0.116378394826385,0.880057771453918,0.00356383371969693,NA
0.98363795141664,0.975871031703145,0.959903782471325,0.0237341689453151,0.01636204858336,"Obama"
0.982184543891781,0.976098066905196,0.95870843463693,0.0234761092548515,0.0178154561082187,"Obama"
0.973391646472735,0.624253873683852,0.607643505922107,0.365748140550627,0.0266083535272654,"Obama"
0.992687259066074,0.936528192146286,0.929679604099803,0.0630076549662719,0.00731274093392553,"Obama"
0.90447381185247,0.942241977154185,0.852233192764054,0.0522406190884159,0.0955261881475298,"Obama"
0.98630942987018,0.0800213340540609,0.078925796368312,0.907383633501868,0.0136905701298203,NA
0.989380275199515,0.947011111044057,0.936954113661768,0.0524261615377471,0.0106197248004855,"Obama"
0.993542768637299,0.0443515929713976,0.044065204474277,0.949477564163022,0.00645723136270115,NA
0.997048296892054,0.0338768383975353,0.0337768440283499,0.963271452863704,0.00295170310794601,NA
0.999999998473549,0.731490404761698,0.731490403645114,0.268509594828435,1.52645085460534e-09,"Obama"
0.989755607657332,0.973175629389584,0.963206036423794,0.0265495712335381,0.0102443923426682,"Obama"
0.871080270453283,0.388630941221824,0.33852874538602,0.532551525067262,0.128919729546717,NA
0.98863378292537,0.9852582231523,0.974059564313387,0.014574218611983,0.01136621707463,"Obama"
0.969192320003211,0.465567920182211,0.451224852680467,0.517967467322744,0.0308076799967895,NA
0.993252623598937,0.0536502797768061,0.0532882811451297,0.939964342453807,0.00674737640106338,NA
